Data,lat,long,Total Cases at this Location,date_confirmation,days_since_start,Total Passengers,City,State,Population,normalized_rank,num_bins
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,48.04818,-121.696,18,3/5/2020,45,,,,,1,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.60972,-122.333,10,3/5/2020,45,,,,,1,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,47.49133,-121.804,47,3/5/2020,45,,,,,2,8
Cases,40.96031581,-74.07497372,2,3/5/2020,45,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,33.3520462,-112.489233,4,3/6/2020,46,,,,,1,8
Cases,30.73308176,-87.01789697,1,3/6/2020,46,,,,,1,8
Cases,34.26257121,-85.21456645,1,3/6/2020,46,,,,,1,8
Cases,35.89432895,-86.89947535,1,3/6/2020,46,,,,,1,8
Cases,42.29639,-71.2931,1,3/6/2020,46,,,,,1,8
Cases,42.3601,-71.0589,4,3/6/2020,46,,,,,1,8
Cases,42.3601,-71.0589,4,3/6/2020,46,,,,,1,8
Cases,42.3601,-71.0589,4,3/6/2020,46,,,,,1,8
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
Cases,38.6872042,-121.9023979,2,3/6/2020,46,,,,,1,8
Cases,39.52722,-119.822,1,3/6/2020,46,,,,,1,8
Cases,41.64838729,-75.30336927,1,3/6/2020,46,,,,,1,8
Cases,39.91745099,-75.39947394,1,3/6/2020,46,,,,,1,8
Cases,29.76278,-95.3831,1,3/6/2020,46,,,,,1,8
Cases,29.85893327,-95.39707324,3,3/6/2020,46,,,,,1,8
Cases,35.70272339,-79.25606172,1,3/6/2020,46,,,,,1,8
Cases,41.67672221,-71.55440889,1,3/6/2020,46,,,,,1,8
Cases,39.75909189,-104.8761799,2,3/6/2020,46,,,,,1,8
Cases,39.75909189,-104.8761799,2,3/6/2020,46,,,,,1,8
Cases,39.33073203,-104.9278659,3,3/6/2020,46,,,,,1,8
Cases,39.33073203,-104.9278659,3,3/6/2020,46,,,,,1,8
Cases,39.33073203,-104.9278659,3,3/6/2020,46,,,,,1,8
Cases,39.62837984,-106.6953457,1,3/6/2020,46,,,,,1,8
Cases,38.83209302,-104.5261325,1,3/6/2020,46,,,,,1,8
Cases,41.29556771,-96.15382716,1,3/6/2020,46,,,,,1,8
Cases,37.23166,-121.693,23,3/6/2020,46,,,,,1,8
Cases,37.23166,-121.693,23,3/6/2020,46,,,,,1,8
Cases,37.23166,-121.693,23,3/6/2020,46,,,,,1,8
Cases,37.23166,-121.693,23,3/6/2020,46,,,,,1,8
Cases,36.1218632,-95.94271198,1,3/6/2020,46,,,,,1,8
Cases,45.01977974,-93.09952775,1,3/6/2020,46,,,,,1,8
Cases,38.44207206,-84.33169087,2,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,41.1624921,-73.75696583,8,3/6/2020,46,,,,,1,8
Cases,40.73994647,-73.58825355,3,3/6/2020,46,,,,,1,8
Cases,40.73994647,-73.58825355,3,3/6/2020,46,,,,,1,8
Cases,40.73994647,-73.58825355,3,3/6/2020,46,,,,,1,8
Cases,34.32402027,-118.2265977,2,3/6/2020,46,,,,,1,8
Cases,34.32402027,-118.2265977,2,3/6/2020,46,,,,,1,8
Cases,39.06467181,-120.7156477,5,3/6/2020,46,,,,,1,8
Cases,39.06467181,-120.7156477,5,3/6/2020,46,,,,,1,8
Cases,39.06467181,-120.7156477,5,3/6/2020,46,,,,,1,8
Cases,32.905945,-111.3436998,2,3/6/2020,46,,,,,1,8
Cases,39.80511608,-74.95992532,2,3/6/2020,46,,,,,1,8
Cases,38.6872042,-121.9023979,2,3/6/2020,46,,,,,1,8
Cases,45.78498644,-122.4805559,1,3/6/2020,46,,,,,1,8
Cases,47.75639,-122.34,1,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.60972,-122.333,11,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.02357632,-122.1021305,1,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
